text,published_at,cleaned,sentiment,date
나성범 김도영 김선빈 복귀 시켜라...도대체 언제까지 휴식 갖게하냐??,2025-07-09 01:01:39+00:00,나성범 김도영 김선빈 복귀 시켜라도대체 언제까지 휴식 갖게하냐,neutral,2025-07-09
오늘 상백이가 선발이지만 상태 봐서 션찮으면 바로 롱 릴리프 대체 하겠지. 현종이야 한화 타선이 대충해도 털거 같은데 뚜껑은 열어 봐야지.,2025-07-09 01:01:02+00:00,오늘 상백이가 선발이지만 상태 봐서 션찮으면 롱 릴리프 대체 하겠지 현종이야 한화 타선이 대충해도 털거 같은데 뚜껑은 열어 봐야지,neutral,2025-07-09
"이재원은 오다가 중간에 뭐 지인이라도 만났나?
야구선수는 치지 못해서가 아니라 뛰지 못하면 은퇴해야된다.",2025-07-09 00:54:46+00:00,이재원은 오다가 중간에 뭐 지인이라도 만났나 야구선수는 치지 못해서가 아니라 뛰지 못하면 은퇴해야된다,neutral,2025-07-09
9:09 심우준 팬 등장!!! 응원에 힘입어 쭉쭉 뻗어나가주길🙏🏻심우준 화이팅❤,2025-07-09 00:50:29+00:00,909 심우준 팬 등장 응원에 쭉쭉 뻗어나가주길심우준 화이팅,negative,2025-07-09
오늘은 엄상백인데 쉬어가는 경기 ?,2025-07-09 00:41:04+00:00,오늘은 엄상백인데 쉬어가는 경기,positive,2025-07-09
마지막에 moon동주 잡아주면서 moon 클로즈업..,2025-07-09 00:33:40+00:00,마지막에 moon동주 잡아주면서 moon 클로즈업,positive,2025-07-09
ㄹㅇ 개종수좀 그만좀써라,2025-07-09 00:27:01+00:00,ㄹㅇ 개종수좀 그만좀써라,neutral,2025-07-09
김태연 수비 진짜 하,2025-07-09 00:23:26+00:00,김태연 수비 진짜,neutral,2025-07-09
임기영이 개그치 못하네  은퇴해라,2025-07-09 00:13:29+00:00,임기영이 개그치 못하네 은퇴해라,neutral,2025-07-09
리얼이 어제 귀국 했던데.. 그렇게 됐다. 잘 가라,2025-07-09 00:07:58+00:00,리얼이 어제 귀국 했던데 그렇게 됐다 잘 가라,positive,2025-07-09
임기영 진짜 뭐이렇게 두들겨 맞냐,2025-07-09 00:02:28+00:00,임기영 진짜 뭐이렇게 두들겨 맞냐,neutral,2025-07-09
아니 윤영철 너무 빨리 내리는거아니냐,2025-07-08 23:54:32+00:00,윤영철 너무 빨리 내리는거아니냐,negative,2025-07-08
3회 부터 포기하고 투수 개판으로 운영하네 진짜 총력전한다며,2025-07-08 23:51:01+00:00,3회 포기하고 투수 개판으로 운영하네 진짜 총력전한다며,neutral,2025-07-08
기)한화 이번에 꼭 우승해라ㅎㅎㅅ🎉,2025-07-08 23:50:04+00:00,기한화 이번에 꼭 우승해라ㅎㅎㅅ,positive,2025-07-08
1:47 스노우볼,2025-07-08 23:43:17+00:00,147 스노우볼,positive,2025-07-08
한화 화이팅!! 가을 야구 가즈앗,2025-07-08 23:33:03+00:00,한화 화이팅 가을 야구 가즈앗,positive,2025-07-08
채은성노시환 화이팅 너무잘했다,2025-07-08 23:19:54+00:00,채은성노시환 화이팅 너무잘했다,negative,2025-07-08
"타이거즈 fa 희대의 먹튀 임기영!!!!  추잡스러워서 이런 얘기 안할려고 했는데 경기 끝나고 덕아웃에 애들 데리고 오던데
어지간히 좀 하고 프로야구 선수면 본인들 실력에나 집중해라!!!!하 씨브레.. 최형우도 부상 당해서 뒷목 잡는데 슬슬 성적 좀 올라오니깐 
돌범호 또 지 멋대로 경기 운영하는거 보니깐 쌍으로 개빡치네,, 생각이란게 있으면 빨리 김선빈이라도 올려서 지명 넣을껀데 설마 니가 그렇게 하겠냐!!!
올스타 전까지 1경기라도 잡아야 될텐데, 하는 짓 보니까 스윕 당할 듯 ㅜㅜ1승 2패만 해도 대만족이다",2025-07-08 23:12:07+00:00,타이거즈 fa 희대의 먹튀 임기영 추잡스러워서 얘기 안할려고 했는데 경기 끝나고 덕아웃에 애들 데리고 오던데 어지간히 하고 프로야구 선수면 본인들 실력에나 집중해라하 씨브레 최형우도 부상 당해서 뒷목 잡는데 슬슬 성적 올라오니깐 돌범호 지 멋대로 경기 운영하는거 보니깐 쌍으로 개빡치네 생각이란게 있으면 빨리 김선빈이라도 올려서 지명 넣을껀데 니가 그렇게 하겠냐 올스타 전까지 1경기라도 잡아야 될텐데 하는 짓 보니까 스윕 당할 듯 ㅜㅜ1승 2패만 해도 대만족이다,negative,2025-07-08
병살타 4갠데 노시환이 안친건 레전드긴하네 잘했다 시환아,2025-07-08 23:04:38+00:00,병살타 4갠데 노시환이 안친건 레전드긴하네 잘했다 시환아,positive,2025-07-08
김태연 가끔 뇌없는 수비 너무 짜증난다,2025-07-08 23:03:38+00:00,김태연 가끔 뇌없는 수비 너무 짜증난다,neutral,2025-07-08
윤영철이 다 말아먹음 ㅡㅡ,2025-07-08 23:03:22+00:00,윤영철이 다 말아먹음 ㅡㅡ,negative,2025-07-08
???: 아~종수형~!!,2025-07-08 23:02:32+00:00,아종수형,positive,2025-07-08
이재원은 뛰는 거냐? 걷는 거냐?,2025-07-08 22:59:48+00:00,이재원은 뛰는 거냐 걷는 거냐,neutral,2025-07-08
이게 이글스다,2025-07-08 22:46:51+00:00,이게 이글스다,positive,2025-07-08
가자 🕊🦅 이글스여!❤🎉,2025-07-08 22:42:41+00:00,가자 이글스여,positive,2025-07-08
윤영철인가 쟤는 뭐 공도 안빠른데 제구도 안되고 변화구도밋밋하고 저런앨 선발로 올린다는건 걍 지겟다는거지뭐,2025-07-08 22:36:35+00:00,윤영철인가 쟤는 뭐 공도 안빠른데 제구도 안되고 변화구도밋밋하고 저런앨 선발로 올린다는건 걍 지겟다는거지뭐,neutral,2025-07-08
"진짜 존나짜증난다.^^

기영아 너는 평균자책점을 신경 쓸 실력이 아니라. 1군에 있는것만으로도 범호 업고다녀라.",2025-07-08 22:33:11+00:00,진짜 존나짜증난다 기영아 너는 평균자책점을 신경 쓸 실력이 아니라 1군에 있는것만으로도 범호 업고다녀라,negative,2025-07-08
위즈덤 수비 더럽게 하네. 3루에서 몸으로 밀어내려고 하네,2025-07-08 22:31:06+00:00,위즈덤 수비 더럽게 하네 3루에서 몸으로 밀어내려고 하네,neutral,2025-07-08
"기아 외국인 선발 제외 확실한 국내 선발 두 명만 있으면 되는데, 쩝쩝",2025-07-08 22:24:21+00:00,기아 외국인 선발 제외 확실한 국내 선발 두 명만 있으면 되는데 쩝쩝,negative,2025-07-08
박찬호가 말아먹은경기,2025-07-08 22:18:52+00:00,박찬호가 말아먹은경기,negative,2025-07-08
"다이나마이트 타선 폭발이네. 옥의 티 : 1. 만루 홈런 맞아 기아 기 살려준 것, 2. 편집이 괴판이네. 티빙, 제대로 안하나???",2025-07-08 22:18:45+00:00,다이나마이트 타선 폭발이네 옥의 티 1 만루 홈런 맞아 기아 기 살려준 2 편집이 괴판이네 티빙 제대로 안하나,neutral,2025-07-08
전날 쉬고 특히 중요한 경기에 선발 일찍 내리고 낸다는 불펜이 죄다 자책점 10점대들 ㅋㅋㅋㅋ,2025-07-08 22:01:54+00:00,전날 쉬고 특히 중요한 경기에 선발 일찍 내리고 낸다는 불펜이 죄다 자책점 10점대들 ㅋㅋㅋㅋ,positive,2025-07-08
최원준이 선발넣으면. 진짜 죽는다잉,2025-07-08 21:47:14+00:00,최원준이 선발넣으면 진짜 죽는다잉,negative,2025-07-08
3:3에 이형범이라니..............................아무리 3회라고 하지만 제구좀 되는 투수로 내보내라.,2025-07-08 21:45:20+00:00,33에 이형범이라니아무리 3회라고 제구좀 되는 투수로 내보내라,negative,2025-07-08
4:14 원준아. 덥다고 초구 땅갈치고 찬수 날려먹고. 좀 신중하게 공격좀 해라......언제 터질레.,2025-07-08 21:44:13+00:00,414 원준아 덥다고 초구 땅갈치고 찬수 날려먹고 신중하게 공격좀 해라언제 터질레,neutral,2025-07-08
윤영철 김대유 이형범 임기영,2025-07-08 21:43:53+00:00,윤영철 김대유 이형범 임기영,positive,2025-07-08
크보 감독들은 투수 교체가 왜 그렇게 조루같냐 교체 투수가 좋은놈이면 모를까 방어율 다 10대들을 왜 그렇게 바꾸고 싶어 하지 ㅋㅋㅋㅋㅋ,2025-07-08 21:41:34+00:00,크보 감독들은 투수 교체가 그렇게 조루같냐 교체 투수가 좋은놈이면 모를까 방어율 다 10대들을 그렇게 바꾸고 싶어 하지 ㅋㅋㅋㅋㅋ,neutral,2025-07-08
대전에 기아팬 겁나많음,2025-07-08 21:40:43+00:00,대전에 기아팬 겁나많음,neutral,2025-07-08
"문동주 볼은 아직 풋내기 고딩 볼 수준을 못 벗어나고 있다, 볼에 프로의 감각이 묻어나야 되는데, 그냥 단순 무식하게 들어가니까 정신없이 얻어 맞는 것이다😢",2025-07-08 21:38:37+00:00,문동주 볼은 아직 풋내기 고딩 볼 수준을 못 벗어나고 볼에 프로의 감각이 묻어나야 되는데 그냥 단순 무식하게 들어가니까 정신없이 얻어 맞는 것이다,neutral,2025-07-08
8회에 김종수 바꿔줘야지,2025-07-08 21:24:54+00:00,8회에 김종수 바꿔줘야지,negative,2025-07-08
리베 안잡으면 타팀 간다,2025-07-08 21:03:55+00:00,리베 안잡으면 타팀 간다,neutral,2025-07-08
윤영철 걍 내보내라 ㅋㅋ,2025-07-08 21:01:40+00:00,윤영철 걍 내보내라 ㅋㅋ,positive,2025-07-08
"아이고,,김호령  잘 해놓고선...너무 멋짐...가볍게 탁... 타이밍만 맞으면  김호령의 시대.. 응원합니다. 홧팅..",2025-07-08 20:57:44+00:00,아이고김호령 잘 해놓고선너무 멋짐가볍게 탁 타이밍만 맞으면 김호령의 시대 응원합니다 홧팅,positive,2025-07-08
김종수는 왜 델고 다니냐.. 단 한번을 잘하는걸 못보네..,2025-07-08 20:49:32+00:00,김종수는 델고 다니냐 단 한번을 잘하는걸 못보네,neutral,2025-07-08
어제하지원은쉬는날이였나보네 하지원안보이던데 아야카만보임,2025-07-08 20:32:33+00:00,어제하지원은쉬는날이였나보네 하지원안보이던데 아야카만보임,neutral,2025-07-08
"근데 원래 한화가 기아보다 야구 더 잘하나요? 기아는 작년우승팀인데 ㆍ
올해우승은 한화라고 봐야하나요?",2025-07-08 20:07:43+00:00,근데 원래 한화가 기아보다 야구 더 잘하나요 기아는 작년우승팀인데 ㆍ 올해우승은 한화라고 봐야하나요,neutral,2025-07-08
최형우 노쇠화로 은퇴 ㅋㅋㅋㅋ,2025-07-08 20:01:27+00:00,최형우 노쇠화로 은퇴 ㅋㅋㅋㅋ,negative,2025-07-08
이참에 맛집추천 기아 등록해야함..,2025-07-08 19:52:45+00:00,이참에 맛집추천 기아 등록해야함,neutral,2025-07-08
"김종수 선수, 화이팅!",2025-07-08 19:51:49+00:00,김종수 선수 화이팅,positive,2025-07-08
진심 진짜 이기영 존나 못한다 방출좀ㅁ 시켜라,2025-07-08 19:45:19+00:00,진심 진짜 이기영 존나 못한다 방출좀ㅁ 시켜라,negative,2025-07-08
박찬호의 승부 조작이쟎아,2025-07-08 19:44:33+00:00,박찬호의 승부 조작이쟎아,neutral,2025-07-08
이범호는 욕도 아깝다.,2025-07-08 19:36:15+00:00,이범호는 욕도 아깝다,negative,2025-07-08
"영상엔 없고 직관가서 봤는데, 유로결이는 센터 나가서 득점권 주자 있는데 라인드라이브 성 타구를 원바운드 잔발 구르며 설렁설렁 잡더라. 정말 글러먹었더라. 그냥 계속 2군에 쳐박혀 있어라.",2025-07-08 19:24:30+00:00,영상엔 없고 직관가서 봤는데 유로결이는 센터 나가서 득점권 주자 있는데 라인드라이브 성 타구를 원바운드 잔발 구르며 설렁설렁 잡더라 정말 글러먹었더라 그냥 계속 2군에 쳐박혀 있어라,negative,2025-07-08
이범호시키 일부로 임기영이 2군에서 올렸네.  한화에 져주기로,2025-07-08 19:22:41+00:00,이범호시키 일부로 임기영이 2군에서 올렸네 한화에 져주기로,negative,2025-07-08
"시환아 오늘잘해었어두 항상 긴장해 내일도 잘해야지 삼진당하지말고 병살당하지 말고 무안타도안되..
너만믿는다...",2025-07-08 19:20:59+00:00,시환아 오늘잘해었어두 항상 긴장해 내일도 잘해야지 삼진당하지말고 병살당하지 말고 무안타도안되 너만믿는다,neutral,2025-07-08
김종수 발암물질,2025-07-08 19:18:07+00:00,김종수 발암물질,negative,2025-07-08
오늘의 승리일등 공신 ----> 박찬호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08 19:16:38+00:00,오늘의 승리일등 공신 박찬호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,positive,2025-07-08
기아는 박빙상황에 김대유냈다는것만으로도 게임 포기한거지,2025-07-08 19:16:01+00:00,기아는 박빙상황에 김대유냈다는것만으로도 게임 포기한거지,negative,2025-07-08
기아는 투수를145이상을  보강을 필요하다,2025-07-08 19:15:29+00:00,기아는 투수를145이상을 보강을 필요하다,neutral,2025-07-08
임기영 이형범 이런애들은 빨리 기술배우는게 ... 어디가서 야구선수라고 하면 중고딩선수들이 비웃을듯,2025-07-08 19:15:24+00:00,임기영 이형범 이런애들은 빨리 기술배우는게 어디가서 야구선수라고 하면 중고딩선수들이 비웃을듯,neutral,2025-07-08
상대가 안되네… 한화 무섭다.,2025-07-08 19:09:10+00:00,상대가 안되네 한화 무섭다,negative,2025-07-08
"이범호 약 먹음?
퀵후크는 좋은데 그럼 좀 하는애로 올려야지 방어률 12점대,10점대,12점대 올려서 점수는 점수대로 주고 타격감은 타격감대로 살려준상태로
김태형은 왜 올림? 이해가 안되네",2025-07-08 19:01:36+00:00,이범호 약 먹음 퀵후크는 좋은데 하는애로 올려야지 방어률 12점대10점대12점대 올려서 점수는 점수대로 주고 타격감은 타격감대로 살려준상태로 김태형은 올림 이해가 안되네,neutral,2025-07-08
기아 투수가 진짜 2군애들만 불러왔나 개판이더라,2025-07-08 18:50:33+00:00,기아 투수가 진짜 2군애들만 불러왔나 개판이더라,negative,2025-07-08
한화가  올해  통합 우승하는거  볼수있는건가  😂,2025-07-08 18:35:40+00:00,한화가 올해 통합 우승하는거 볼수있는건가,neutral,2025-07-08
영철아 야구말고 다른거 알아보자 구속도 안나오는데 제구도 안되고 구질이 좋은것도 아니고 그렇다고 멘탈이 강한것도 아니고,2025-07-08 18:34:25+00:00,영철아 야구말고 다른거 알아보자 구속도 안나오는데 제구도 안되고 구질이 좋은것도 아니고 그렇다고 멘탈이 강한것도 아니고,negative,2025-07-08
🦖) 50승 선착 ㅊㅋ 합니다.,2025-07-08 18:25:23+00:00,50승 선착 ㅊㅋ 합니다,positive,2025-07-08
근데 솔직히 최원준은 2군 보내는게 맞을거 같은데,2025-07-08 18:24:11+00:00,근데 솔직히 최원준은 2군 보내는게 맞을거 같은데,neutral,2025-07-08
살다살다 이순철 해설이 듣고싶은날이오네,2025-07-08 18:20:26+00:00,살다살다 이순철 해설이 듣고싶은날이오네,positive,2025-07-08
리얼아 미안하다 그렇게됫다😅😅,2025-07-08 18:15:09+00:00,리얼아 미안하다 그렇게됫다,neutral,2025-07-08
이범호 선발좀 더 믿어줬음 기아가 이겼다,2025-07-08 18:04:57+00:00,이범호 선발좀 더 믿어줬음 기아가 이겼다,negative,2025-07-08
"아 티빙  퀄 떨어지는 방송
제발 하일라이트도 엠스픎꺼보자..
해설 누군지  모르지만..듣기 거북하고 어눌한 말투..캐스터는 그냥 챗 got가 나은...",2025-07-08 18:00:34+00:00,티빙 퀄 떨어지는 방송 제발 하일라이트도 엠스픎꺼보자 해설 누군지 모르지만듣기 거북하고 어눌한 말투캐스터는 그냥 챗 got가 나은,neutral,2025-07-08
최원준이 문제임,2025-07-08 17:45:20+00:00,최원준이 문제임,negative,2025-07-08
영철이는 왜 이렇게 망가졌나!구속도 느린애가 볼넷까지 남발하니ㅠㅠ 그리고 이형범과 갑자기 이름도 생각안난다만 사이드로 던지는 애 한화에서 온애~ 참 임기영 니네둘은 진심 다른직업 알아봐라ㅠㅠ,2025-07-08 17:35:12+00:00,영철이는 이렇게 망가졌나구속도 느린애가 볼넷까지 남발하니ㅠㅠ 이형범과 갑자기 이름도 생각안난다만 사이드로 던지는 애 한화에서 온애 임기영 니네둘은 진심 다른직업 알아봐라ㅠㅠ,neutral,2025-07-08
탱구+종수 어휴....,2025-07-08 17:24:37+00:00,탱구종수 어휴,negative,2025-07-08
이히리베리히 개 잘하네,2025-07-08 17:17:47+00:00,이히리베리히 개 잘하네,neutral,2025-07-08
이재원은 이제 쉬게해주자. 저딴 타구에 아웃되냐? 할배임???,2025-07-08 17:17:02+00:00,이재원은 이제 쉬게해주자 저딴 타구에 아웃되냐 할배임,negative,2025-07-08
직관다녀왔습니다 병살4개치고 14점 뽑는거 처음봅니다,2025-07-08 17:12:24+00:00,직관다녀왔습니다 병살4개치고 14점 뽑는거 처음봅니다,negative,2025-07-08
기아 그래도 잘 따라가줘서 감사합니당,2025-07-08 17:10:35+00:00,기아 잘 따라가줘서 감사합니당,positive,2025-07-08
직관갔는데 위즈덤 만루포 고맙다,2025-07-08 17:09:26+00:00,직관갔는데 위즈덤 만루포 고맙다,negative,2025-07-08
한화 20번은 러닝 연습 좀 하자 ㅋ 거기서 아웃되는게 말이 되냐!! ㅋㅋ 기아는 첫타자 볼넷 좀 고쳐라! 볼넷 안타 득점 …. 이기고 싶은 마음이 전혀ㅡ없었던 경기…,2025-07-08 17:06:45+00:00,한화 20번은 러닝 연습 하자 ㅋ 거기서 아웃되는게 말이 되냐 ㅋㅋ 기아는 첫타자 볼넷 고쳐라 볼넷 안타 득점 이기고 싶은 마음이 전혀ㅡ없었던 경기,neutral,2025-07-08
진짜 개종수는 점수 안벌려놧으면 엄상백이랑 투탑으로 버스타는 놈이다 어찌 저런애를 불펜으로 넣어놧을까,2025-07-08 16:57:40+00:00,진짜 개종수는 점수 안벌려놧으면 엄상백이랑 투탑으로 버스타는 놈이다 저런애를 불펜으로 넣어놧을까,negative,2025-07-08
ㅋㅋㅋ 아~ 그래도 프로인데… ㅋㅋㅋ 진짜 기아 투수진은… 엉망이네… ㅋㅋㅋ 가을야구를 간다한들… 쟤네들을 데리고 뭘 하겠나… 쯧쯧… 그나저나 왜 기아 투수진은 하나같이 애들이 특색이 없나… 결정구도 없고… 앞으로가 걱정이다. 걱정이야… 🔥🔥,2025-07-08 16:51:16+00:00,ㅋㅋㅋ 프로인데 ㅋㅋㅋ 진짜 기아 투수진은 엉망이네 ㅋㅋㅋ 가을야구를 간다한들 쟤네들을 데리고 뭘 하겠나 쯧쯧 그나저나 기아 투수진은 하나같이 애들이 특색이 없나 결정구도 없고 앞으로가 걱정이다 걱정이야,neutral,2025-07-08
기아도 한물갔네 아무리 2군이라지만 한화한테 이렇게 줘터지냐 ㅋㅋㅋㅋ,2025-07-08 16:51:11+00:00,기아도 한물갔네 아무리 2군이라지만 한화한테 이렇게 줘터지냐 ㅋㅋㅋㅋ,negative,2025-07-08
"심우준 제발빼자. 공격은 완전 제로도 아니고 마이너스 아마추어 수준에, 그렇다고 수비도 스폐샬정도도 아닌데..참 돈벌기쉽단생각듬..심선수 보면..",2025-07-08 16:46:41+00:00,심우준 제발빼자 공격은 완전 제로도 아니고 마이너스 아마추어 수준에 그렇다고 수비도 스폐샬정도도 아닌데참 돈벌기쉽단생각듬심선수 보면,neutral,2025-07-08
저때 홍어 한마라  한화.롯데.엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라  근데 왜 타팀을 혐오 하면서 까지 그러냐 전라도 홍어야,2025-07-08 16:46:09+00:00,저때 홍어 한마라 한화롯데엘쥐 개그치 욕하던데 어차피 우승은 기아라고 우승해라 근데 타팀을 혐오 그러냐 전라도 홍어야,neutral,2025-07-08
이제 동주도 살아나나😂 타선도 살아나고  이제  영상보는중에 댓글다네 ㅋㅋ,2025-07-08 16:43:51+00:00,이제 동주도 살아나나 타선도 살아나고 이제 영상보는중에 댓글다네 ㅋㅋ,positive,2025-07-08
내일 엄상백 선발입니당,2025-07-08 16:41:03+00:00,내일 엄상백 선발입니당,positive,2025-07-08
요즘에 진짜 타격 개쳐올라옴,2025-07-08 16:39:46+00:00,요즘에 진짜 타격 개쳐올라옴,negative,2025-07-08
박민 수비봐라ㅋㅋ,2025-07-08 16:39:10+00:00,박민 수비봐라ㅋㅋ,positive,2025-07-08
총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다.,2025-07-08 16:39:01+00:00,총리 시절에 가족들에게 서울 땅투기를 시켰던 사람으로 소문이 자자합니다,positive,2025-07-08
근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 아 맞다.... 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,2025-07-08 16:36:36+00:00,근데 오늘 압도적으로 이긴것도 아니도 8점 줬으면서 뭐가 그렇게 싱글벙글이지 맞다 99년도 우승빼곤 우승이 없구나 아차 ㅎㅎ,negative,2025-07-08
ㅎㅎ 한화팬은 웃고 기아팬은 울고  ㅎ,2025-07-08 16:33:52+00:00,ㅎㅎ 한화팬은 웃고 기아팬은 울고 ㅎ,negative,2025-07-08
장하다 90억의 사나이 채은성,2025-07-08 16:32:31+00:00,장하다 90억의 사나이 채은성,neutral,2025-07-08
오늘 직관 갔다온 사람입니다. 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 그래도 승요래서 다행입니다.,2025-07-08 16:32:01+00:00,오늘 직관 갔다온 사람입니다 위즈덤늬 그랜드슬램 보고 경악했네요 ㅋㅋㅋㅋ 승요래서 다행입니다,positive,2025-07-08
이형범 다신 보기싫다,2025-07-08 16:31:10+00:00,이형범 다신 보기싫다,negative,2025-07-08
범호가 공짜로 준경기 ㅋ,2025-07-08 16:28:58+00:00,범호가 공짜로 준경기 ㅋ,positive,2025-07-08
윤영철  첫 한화전  패😂,2025-07-08 16:28:21+00:00,윤영철 첫 한화전 패,negative,2025-07-08
이야.. 이제 빠따까지 되네..,2025-07-08 16:27:10+00:00,이야 이제 빠따까지 되네,negative,2025-07-08
패자는 말이없다.... 하지만 기아 투수운용 실패....,2025-07-08 16:27:04+00:00,패자는 말이없다 기아 투수운용 실패,negative,2025-07-08
동주야 수육 먹으로 가야지~~,2025-07-08 16:25:48+00:00,동주야 수육 먹으로 가야지,neutral,2025-07-08
영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고  보였는디 쉽지않않지? ㅋㅋ 특유 너의 장점도 없어지더라 그래도  애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철 !,2025-07-08 16:25:38+00:00,영철아 전반기 마지막 원정이라고 나름 열심히 래볼려고 보였는디 쉽지않않지 ㅋㅋ 특유 너의 장점도 없어지더라 애썼어 자리 지켜줘서 고맙고 후반기 압도해보자 영철,negative,2025-07-08
김태연 좀 그만 쓰져,2025-07-08 16:25:23+00:00,김태연 그만 쓰져,negative,2025-07-08
역시나 기아는  불펜이  다 말아먹는구나  요몇경기 조용하다 했더니 난리도 아니네 무슨 3이닝을.....기가찬다기가차~~,2025-07-08 16:25:05+00:00,역시나 기아는 불펜이 다 말아먹는구나 요몇경기 조용하다 했더니 난리도 아니네 3이닝을기가찬다기가차,neutral,2025-07-08
영철이는 진짜 투같새다 50이닝 던지는 새끼는 또 처음보네,2025-07-08 16:22:09+00:00,영철이는 진짜 투같새다 50이닝 던지는 새끼는 처음보네,negative,2025-07-08
리트리버야 최고야!!!!,2025-07-08 16:20:26+00:00,리트리버야 최고야,positive,2025-07-08
